R_D,IG_TS,OG_TS,TRK_ID,TRK_KEY,CHASSIS_NO,BAT_NO,ITEM_NO,ISO,OPERATION_METHOD,EIR_ID,LANE_NO_IN,LANE_NO_OUT
R,45536.02275462963,45536.03428240741,61H03086,26323958,61R05021,03086,PCLU2601957,2200,HBCX,R39539279,B04,B08
R,45536.02278935185,45536.04004629629,50H43696,26323959,50RM03288,43696,ZIMU1005310,2200,HBCX,R39539280,B02,B08
R,45536.02284722222,45536.03611111111,50H28303,26323960,50R04613,28303,TCNU5614136,4500,HBCX,R39539283,G02,G04
R,45536.022986111115,45536.029386574075,50H04324,26323961,50RM00735,04324,OOCU6527659,4500,HBCX,R39539284,B02,B08
D,45536.022997685184,45536.0390625,68H01981,26323962,68R00119,01981,TCLU1273501,4530,GTHA,D39539282,E04,E10
R,45536.02300925926,45536.0546875,51D15166,26323963,51R19403,15166,BMOU8718906,2230,HBCX,R39539285,G02,G04
D,45536.02305555555,45536.033796296295,61C26898,26323964,61R01469,26898,BEAU6073737,4500,GTHA,D39539281,A03,A05
R,45536.023194444446,45536.03518518519,50H22780,26323965,51R20773,22780,FSCU8783935,4500,HBCX,R39539287,B02,G04
R,45536.023310185185,45536.03146990741,50H43663,26323966,50RM01758,43663,NSSU0110711,2200,HBCX,R39539288,B04,B08
R,45536.023518518516,45536.035405092596,60H12720,26323967,51R03769,12720,FCIU7221050,4500,HBCX,R39539289,A02,B08
R,45536.02354166667,45536.06212962963,70H00281,26323968,70R01797,00281,MSKU3487860,2200,HBCX,R39539286,B04,E10
R,45536.023831018516,45536.030497685184,70G00257,26323969,70R01119,00257,WHSU2790364,2200,HBCX,R39539290,A02,B08
R,45536.02392361111,45536.030636574076,70H04665,26323970,70R01323,04665,UETU2940813,2200,HBCX,R39539292,G02,G04
D,45536.02402777778,45536.039247685185,70G00453,26323971,70R02636,00453,OOCU0756405,2200,GTHA,D39539291,B04,B08
R,45536.02413194445,45536.048738425925,72H01094,26323972,72R03053,01094,SITU2656192,2200,HBCX,R39538524,B02,E10
D,45536.02415509259,45536.0315625,50H35112,26323973,,35112,TEMU5443943,2200,CAPR,E39539271,E04,E10
D,45536.02415509259,45536.0315625,50H35112,26323973,,35112,TEMU3714579,2200,CAPR,E39539268,E04,E10
